ID Consumidor	Género	Estado civil	Mascotas	Barrio
3	F	Casado(a)	1	San Juan
8	F	Casado(a)	2	San Pedro
9	F	Casado(a)	5	San Pedro
20	F	Soltero(a)	2	Santa Ana 
24	F	Soltero(a)	1	San Pedro
26	F	Soltero(a)	1	San Pedro
28	F	Soltero(a)	1	San Juan
30	F	Soltero(a)	4	Santa Ana
32	F	Soltero(a)	2	San Pedro
36	F	Soltero(a)	1	Santa Ana
39	F	Casado(a)	4	San Juan
41	F	Soltero(a)	1	Santa Ana
42	F	Casado(a)	3	San Pedro
43	F	Soltero(a)	2	San Juan
44	F	Soltero(a)	1	San Pedro
45	F	Soltero(a)	5	San Juan
47	F	Casado(a)	1	La Esperanza
48	F	Casado(a)	1	La Esperanza
49	F	Soltero(a)	4	San Juan
52	F	Soltero(a)	3	San Pedro
55	F	Casado(a)	3	Santa Ana
57	F	Soltero(a)	3	San Pedro
59	F	Casado(a)	5	San Pedro
60	F	Soltero(a)	3	San Pedro
62	F	Casado(a)	1	San Juan
64	F	Soltero(a)	4	Santa Ana
71	F	Soltero(a)	5	La Esperanza
75	F	Soltero(a)	3	San Juan
76	F	Soltero(a)	1	Santa Ana
77	F	Soltero(a)	2	San Pedro
79	F	Soltero(a)	2	San Juan
80	F	Soltero(a)	1	Santa Ana
81	F	Soltero(a)	2	Santa Ana
87	F	Soltero(a)	4	San Pedro
91	F	Casado(a)	1	San Juan
93	F	Casado(a)	5	San Juan
96	F	Soltero(a)	1	Santa Ana
99	F	Soltero(a)	3	Santa Ana
102	F	Casado(a)	2	La Esperanza
104	F	Casado(a)	1	Santa Ana
105	F	Casado(a)	3	Santa Ana
109	F	Soltero(a)	2	San Pedro
110	F	Soltero(a)	3	San Pedro
112	F	Casado(a)	4	San Pedro
114	F	Soltero(a)	3	La Esperanza
115	F	Soltero(a)	3	San Juan
117	F	Casado(a)	3	San Juan
118	F	Soltero(a)	2	Santa Ana
119	F	Soltero(a)	4	San Pedro
121	F	Soltero(a)	5	San Pedro
125	F	Casado(a)	2	San Juan
126	F	Soltero(a)	2	San Juan
127	F	Soltero(a)	1	San Juan
128	F	Soltero(a)	1	San Juan
131	F	Soltero(a)	3	Santa Ana
133	F	Casado(a)	1	San Pedro
135	F	Casado(a)	5	La Esperanza
136	F	Casado(a)	3	San Juan
137	F	Casado(a)	3	San Pedro
139	F	Casado(a)	1	Santa Ana
140	F	Casado(a)	2	Santa Ana
141	F	Casado(a)	4	San Pedro
144	F	Soltero(a)	3	San Pedro
148	F	Soltero(a)	2	San Juan
154	F	Soltero(a)	1	San Juan
155	F	Casado(a)	1	San Pedro
156	F	Soltero(a)	1	La Esperanza
158	F	Casado(a)	3	San Juan
159	F	Casado(a)	4	Santa Ana
160	F	Casado(a)	1	San Juan
161	F	Casado(a)	1	Santa Ana
162	F	Casado(a)	3	San Pedro
164	F	Soltero(a)	4	Santa Ana
165	F	Soltero(a)	2	Santa Ana
168	F	Casado(a)	4	San Miguel 
169	F	Casado(a)	1	San Juan
170	F	Soltero(a)	1	San Pedro
175	F	Soltero(a)	1	La Esperanza
177	F	Casado(a)	1	San Juan
178	F	Soltero(a)	1	San Juan
179	F	Soltero(a)	1	San Pedro
180	F	Soltero(a)	4	San Juan
181	F	Soltero(a)	1	Santa Ana
182	F	Casado(a)	1	San Juan
187	F	Soltero(a)	1	San Juan
188	F	Casado(a)	4	San Juan
190	F	Casado(a)	1	San Juan
191	F	Soltero(a)	4	San Juan
192	F	Casado(a)	4	Santa Ana
193	F	Soltero(a)	1	San Pedro
194	F	Soltero(a)	1	San Pedro
195	F	Soltero(a)	4	San Pedro
197	F	Casado(a)	1	Santa Ana
198	F	Casado(a)	1	Santa Ana
208	F	Casado(a)	2	San Juan
210	F	Casado(a)	1	San Pedro
211	F	Casado(a)	3	San Pedro
213	F	Soltero(a)	3	San Juan
216	F	Soltero(a)	2	San Juan
218	F	Soltero(a)	2	San Pedro
221	F	Casado(a)	2	San Juan
224	F	Casado(a)	3	La Esperanza
225	F	Soltero(a)	5	Santa Ana
226	F	Soltero(a)	2	Santa Ana
227	F	Soltero(a)	3	San Juan
228	F	Casado(a)	3	Santa Ana
229	F	Casado(a)	1	San Juan
235	F	Casado(a)	2	Santa Ana
238	F	Casado(a)	1	Santa Ana
240	F	Casado(a)	2	San Juan
242	F	Soltero(a)	1	La Esperanza
243	F	Soltero(a)	1	San Pedro
244	F	Casado(a)	3	San Pedro
248	F	Soltero(a)	1	San Pedro
250	F	Soltero(a)	1	Santa Ana
257	F	Casado(a)	3	Santa Ana
260	F	Casado(a)	5	Santa Ana
262	F	Soltero(a)	4	San Pedro
264	F	Soltero(a)	1	San Miguel 
265	F	Soltero(a)	4	Santa Ana
268	F	Casado(a)	1	San Pedro
271	F	Soltero(a)	2	San Pedro
272	F	Soltero(a)	1	Santa Ana
273	F	Soltero(a)	1	San Pedro
274	F	Soltero(a)	4	San Juan
275	F	Casado(a)	2	San Pedro
280	F	Soltero(a)	1	San Juan
281	F	Soltero(a)	1	San Pedro
282	F	Soltero(a)	3	Santa Ana
